;Data;Hora UTC;PRECIPITAO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m2);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREAO HORARIA (gr) ((gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);REGIAO;UF;ESTACAO;CODIGO (WMO);LATITUDE;LONGITUDE;ALTITUDE;DATA DE FUNDACAO
621;2021/03/21;0900 UTC;0.0;1011.6;1011.7;1011.5;36.3;22.3;21.1;22.4;22.2;21.1;20.9;93.0;92.0;93.0;264.0;0.8;0.3;NE;PE;RECIFE;A301;-8.05916666;-34.95916666;11.3;22/12/04
611;2022/08/22;0500 UTC;0.2;993.0;993.5;993.0;;18.3;;18.3;18.0;;;;;;197.0;0.0;0.0;NE;BA;CRUZ DAS ALMAS;A406;-12.67555554;-39.08944444;219.76;19/01/03
335;2022/09/08;1500 UTC;;;;;;;;;;;;;;;;;;CO;MT;JUINA;A920;-11.37499999;-58.77472221;365.39;24/11/06
743;2022/03/07;0900 UTC;;;;;;;;;;;;;;;;;;N;PA;SANTAREM;A250;-2.5025;-54.72027777;137.0;02/09/15
774;2020/12/01;1200 UTC;0.0;978.4;978.5;977.9;2348.8;28.3;18.6;28.6;26.0;19.2;18.0;62.0;55.0;56.0;94.0;7.5;4.0;NE;PI;CANTO DO BURITI;A365;-8.117939;-42.975721;312.07;12/06/10
151;2022/04/12;1400 UTC;1.2;904.3;904.7;904.3;951.9;22.4;19.4;22.4;21.2;19.6;18.9;88.0;82.0;83.0;45.0;6.5;2.5;CO;GO;LUZIANIA;A012;-16.26055555;-47.96694443;1000.82;21/10/06
784;2022/10/27;1600 UTC;;1004.3;1005.1;1004.3;2413.3;31.3;23.3;32.9;31.2;24.4;22.6;64.0;57.0;62.0;296.0;6.4;2.4;N;AM;ITACOATIARA;A121;-3.13333333;-58.48277777;41.54;17/04/08
719;2020/12/20;0600 UTC;;;;;;;;;;;;;;;;;;N;PA;PLACAS;A211;-3.86404;-54.216416;100.45;14/02/08
880;2022/02/27;1300 UTC;0.0;927.8;928.0;927.8;2677.5;26.1;19.4;26.6;24.8;20.5;19.1;73.0;65.0;67.0;67.0;9.3;5.7;S;SC;JOACABA;A841;-27.16916666;-51.55888888;767.63;20/09/07
701;2020/11/09;2000 UTC;;;;;;;;;;;;;;;;;;CO;MS;NHUMIRIM;A717;-18.9886111;-56.62277777;102.26;02/08/06
208;2022/12/01;2200 UTC;0.0;979.7;979.7;978.8;1.2;22.9;21.3;23.1;22.9;22.1;21.2;95.0;90.0;90.0;99.0;3.2;1.6;NE;BA;ITAPETINGA;A446;-15.24472221;-40.22944443;271.48;25/06/09
368;2020/06/09;0800 UTC;0.0;983.7;983.7;983.4;;21.0;;21.1;20.9;;;;;;229.0;2.5;1.0;NE;AL;PALMEIRA DOS INDIOS;A327;-9.42027777;-36.62027777;278.01;11/07/07
979;2021/07/03;0000 UTC;;;;;;;;;;;;;;;;;;N;AC;MARECHAL THAUMATURGO;A137;-8.95;-72.78666666;220.98;27/10/09
858;2020/04/13;1000 UTC;;;;;;;;;;;;;;;;;;NE;BA;SANTA RITA DE CASSIA;A415;-11.00277777;-44.52499999;450.01;28/05/07
175;2022/03/07;0500 UTC;;;;;;;;;;;;;;;;;;N;AM;BOCA DO ACRE;A110;-8.77666666;-67.33249999;111.98;15/07/08
553;2020/01/04;2100 UTC;0.0;923.1;923.1;922.4;401.4;20.1;17.7;21.4;20.1;19.1;17.7;87.0;83.0;86.0;203.0;5.3;1.5;S;PR;SAO MATEUS DO SUL;A874;-25.835604;-50.368994;780.21;17/04/11
847;2022/03/03;2300 UTC;0.0;916.7;916.7;915.9;;23.8;17.9;24.6;23.3;18.0;17.3;72.0;64.0;70.0;16.0;4.5;1.9;SE;SP;SAO LUIZ DO PARAITINGA;A740;-23.22833332;-45.41694443;862.3;01/11/07
104;2022/10/11;1100 UTC;;;;;;;;;;;;;;;;;;N;PA;CAMETA;A236;-2.23972221;-49.49972221;9.92;20/06/08
933;2020/09/01;1600 UTC;0.0;976.1;977.3;976.1;359.5;9.0;9.5;9.0;8.5;9.5;9.0;;;;;;;S;RS;CACAPAVA DO SUL;A812;-30.545317;-53.46705;420.82;22/06/06
492;2022/05/24;2200 UTC;0.0;977.4;977.4;976.7;;26.6;13.1;29.2;26.6;13.2;12.1;43.0;35.0;43.0;85.0;1.4;0.6;CO;GO;ARAGARCAS;A013;-15.90277777;-52.24527777;327.35;13/07/07
516;2021/12/29;0400 UTC;0.0;916.7;917.4;916.7;;21.9;20.5;22.1;21.9;20.6;20.5;92.0;91.0;91.0;10.0;3.6;2.0;CO;GO;MINEIROS;A026;-17.45472222;-52.60111111;862.0;24/11/07
695;2020/01/12;1300 UTC;;;;;;;;;;;;;;;;;;S;SC;URUSSANGA;A814;-28.53249999;-49.31527777;40.56;29/05/08
680;2022/01/06;0200 UTC;0.2;905.6;906.2;905.6;;20.4;19.6;20.4;20.3;19.7;19.4;96.0;94.0;96.0;324.0;5.6;2.6;SE;MG;JUIZ DE FORA;A518;-21.769965;-43.364329;936.88;26/05/07
462;2020/02/08;0000 UTC;0.0;1010.2;1010.2;1009.2;;24.4;22.6;25.3;24.4;22.7;22.6;90.0;85.0;90.0;15.0;5.9;1.8;N;AP;MACAPA;A249;0.03502;-51.088763;16.62;12/12/13
213;2020/01/21;1500 UTC;0.0;989.8;990.5;989.8;3022.8;30.5;22.8;31.3;29.4;23.8;21.8;69.0;59.0;63.0;314.0;6.5;2.5;NE;MA;CAROLINA;A205;-7.337269;-47.459839;182.88;04/12/07
997;2022/02/12;1500 UTC;;;;;;;;;;;;;;;;;;NE;MA;FAROL de SANTANA;A217;-2.27083332;-43.62416666;9.87;28/11/08
873;2022/12/17;1500 UTC;0.0;958.0;958.5;957.9;3820.6;25.7;12.3;26.0;23.0;13.4;10.5;49.0;41.0;43.0;92.0;8.8;3.3;S;RS;IBIRUBA;A883;-28.65333333;-53.11194444;455.27;13/12/12
803;2022/07/14;0400 UTC;;988.2;988.7;988.2;2508.0;18.2;17.4;18.7;18.2;17.9;17.3;95.0;92.0;95.0;311.0;2.3;0.5;NE;BA;ITAPETINGA;A446;-15.24472221;-40.22944443;271.48;25/06/09
222;2021/04/06;2100 UTC;0.0;958.3;958.3;958.0;272.6;23.2;15.6;26.9;23.0;16.3;14.6;63.0;50.0;63.0;79.0;3.2;1.6;SE;MG;TIMOTEO;A511;-19.57388888;-42.62249999;493.42;22/02/06
128;2021/11/07;0300 UTC;;;;;;;;;;;;;;;;;;NE;RN;APODI;A340;-5.62666666;-37.815;131.41;14/11/07
739;2022/04/15;1000 UTC;;;;;;;;;;;;;;;;;;SE;MG;GUARDA-MOR;A546;-17.56138888;-47.19916666;997.01;11/07/07
914;2021/01/02;0800 UTC;;;;;;;;;;;;;;;;;;NE;CE;ITAPIPOCA;A359;-3.48416666;-39.5886111;104.49;05/09/08
144;2020/10/15;0900 UTC;0.0;972.4;972.6;971.8;;20.5;17.2;20.9;20.5;17.3;17.1;82.0;79.0;81.0;47.0;5.8;2.7;S;PR;CIDADE GAUCHA;A869;-23.359156;-52.931912;365.79;11/03/08
852;2022/07/20;1300 UTC;0.0;988.0;988.3;988.0;2589.8;26.4;13.8;26.7;24.9;14.2;13.1;51.0;44.0;46.0;157.0;7.9;2.7;NE;PB;SAO GONCALO;A333;-6.835777;-38.311583;237.04;06/11/07
608;2021/02/14;0400 UTC;0.0;1008.3;1008.8;1008.3;;23.7;21.0;23.8;23.4;21.2;21.0;87.0;85.0;85.0;9.0;5.6;3.6;SE;ES;VILA VELHA;A634;-20.46694443;-40.40388888;25.0;15/02/17
106;2022/06/14;1100 UTC;0.0;985.0;985.0;984.1;487.3;23.2;18.8;23.3;19.8;19.1;18.1;90.0;76.0;76.0;89.0;1.8;1.1;N;TO;PEIXE;A018;-12.015377;-48.544517;250.87;01/12/06
421;2022/10/30;1300 UTC;;;;;;;;;;;;;;;;;;N;TO;CAMPOS LINDOS;A043;-8.15472222;-46.63944444;426.56;29/10/12
636;2022/03/02;1700 UTC;0.0;953.2;953.6;953.2;693.3;27.4;21.9;27.6;27.3;22.2;21.6;73.0;71.0;72.0;15.0;3.8;0.0;CO;MS;CAMPO GRANDE;A702;-20.447195;-54.722615;528.47;10/09/01
312;2021/10/05;0100 UTC;;967.9;968.0;967.6;;21.9;19.8;22.2;21.9;20.0;19.8;88.0;87.0;88.0;175.0;3.1;1.3;SE;SP;RANCHARIA;A718;-22.37277777;-50.97472221;398.75;01/09/06
453;2021/06/14;1700 UTC;;;;;;;;;;;;;;;;;;NE;CE;GUARAMIRANGA;A314;-4.26138888;-38.9311111;865.53;26/05/07
588;2020/10/09;2100 UTC;0.0;992.6;992.6;992.2;514.5;39.5;13.3;40.6;39.5;13.3;12.3;21.0;19.0;21.0;349.0;6.9;2.6;CO;MT;CACERES;A941;-16.07472221;-57.69305555;123.53;30/03/12
572;2021/03/26;1600 UTC;0.0;910.8;911.6;910.8;2178.7;25.7;18.0;27.2;24.9;19.4;17.0;65.0;56.0;63.0;39.0;4.4;1.5;SE;MG;JUIZ DE FORA;A518;-21.769965;-43.364329;936.88;26/05/07
882;2020/05/23;0100 UTC;;;;;;;;;;;;;;;;;;SE;RJ;VALENCA;A611;-22.35805555;-43.69555555;370.0;27/09/06
328;2020/08/10;0900 UTC;0.0;910.0;910.0;909.6;;14.4;8.3;14.4;13.9;8.7;8.3;70.0;67.0;67.0;359.0;6.5;4.0;S;SC;CAMPOS NOVOS;A898;-27.3886111;-51.21583333;963.0;15/02/19
763;2020/09/25;2300 UTC;0.0;934.2;934.2;933.7;;22.8;12.6;24.3;22.8;12.9;12.2;53.0;47.0;53.0;49.0;3.0;0.6;SE;MG;SETE LAGOAS;A569;-19.45527777;-44.17333332;719.0;10/06/16
604;2020/11/23;1700 UTC;0.0;915.4;915.9;915.4;2891.3;23.8;9.0;25.2;23.1;11.5;8.8;44.0;38.0;39.0;73.0;7.4;2.1;S;PR;CURITIBA;A807;-25.448688;-49.230602;922.91;28/01/03
765;2021/04/02;0700 UTC;;;;;;;;;;;;;;;;;;S;PR;NOVA FATIMA;A842;-23.41527777;-50.57777777;664.31;08/02/07
580;2020/10/03;1500 UTC;0.0;919.9;920.5;919.9;2960.5;35.3;14.9;36.0;32.0;19.5;14.6;47.0;29.0;30.0;327.0;;1.7;S;PR;LARANJEIRAS DO SUL;B804;-25.36888888;-52.39194444;835.0;07/08/16
16;2021/12/07;0200 UTC;;;;;;;;;;;;;;;;;;NE;RN;CAICO;A316;-6.46749999;-37.08499999;171.26;07/01/07
798;2020/01/03;1500 UTC;0.0;999.9;1000.7;999.9;3398.0;27.8;13.9;27.9;25.8;15.0;13.7;49.0;42.0;42.0;100.0;13.1;7.3;S;RS;DOM PEDRITO;A881;-31.002528;-54.618139;150.0;23/04/10
752;2020/07/13;0100 UTC;0.0;759.3;759.3;758.4;;8.3;7.0;8.7;7.9;7.2;5.9;92.0;86.0;92.0;277.0;6.0;2.2;SE;RJ;ITATIAIA;A635;-22.373944;-44.703111;2450.0;01/09/17
186;2021/04/29;2000 UTC;0.0;988.2;988.4;988.2;;23.4;23.4;24.7;22.9;24.6;22.9;100.0;100.0;100.0;360.0;6.4;1.6;NE;AL;ARAPIRACA;A353;-9.80444444;-36.61916666;236.84;27/04/08
154;2021/07/31;1100 UTC;0.0;1010.9;1010.9;1010.1;739.8;25.4;23.9;25.5;24.0;24.2;23.0;94.0;91.0;91.0;118.0;0.0;0.0;N;PA;CASTANHAL;A202;-1.30083333;-47.94805555;47.13;24/01/03
338;2020/10/06;1800 UTC;0.0;982.0;982.8;982.0;2289.3;31.7;15.9;32.1;30.8;16.1;14.8;39.0;36.0;39.0;55.0;8.4;2.5;NE;BA;ITAPETINGA;A446;-15.24462;-40.22955;271.48;25/06/09
989;2022/10/24;1200 UTC;0.0;943.7;943.7;943.2;1552.7;20.6;15.7;21.5;19.5;16.9;15.0;80.0;71.0;74.0;219.0;4.5;0.6;SE;SP;BARRA DO TURVO;A746;-24.96277777;-48.41638888;659.89;03/07/08
388;2022/07/16;1800 UTC;0.0;972.1;973.1;972.1;2576.8;34.7;15.4;35.8;33.8;16.7;15.4;35.0;32.0;32.0;20.0;7.1;2.9;CO;MT;S.J. DO RIO CLARO;A903;-13.45388888;-56.67722221;339.59;25/02/03
347;2021/10/29;0600 UTC;;;;;;;;;;;;;;;;;;SE;SP;ITUVERAVA;A753;-20.35972222;-47.77527777;610.58;17/07/08
869;2021/10/03;0500 UTC;;;;;;;;;;;;;;;;;;N;PA;MARABA;A240;-5.36638888;-49.05111111;116.58;25/06/09
164;2020/11/19;2100 UTC;0.2;948.1;948.2;947.9;47.2;21.6;21.2;21.6;21.3;21.3;21.0;99.0;98.0;98.0;7.0;3.3;1.9;SE;MG;JANAUBA;A563;-15.80277777;-43.29694444;532.0;19/11/16
950;2020/09/08;1600 UTC;0.0;931.0;931.7;931.0;2868.3;25.8;15.3;26.6;24.1;17.4;15.3;61.0;52.0;52.0;198.0;6.2;2.0;SE;SP;ITAPEVA;A714;-23.98194443;-48.88583333;743.33;25/07/06
480;2021/04/14;0500 UTC;;;;;;;;;;;;;;;;;;SE;SP;CACHOEIRA PAULISTA;A769;-22.68888888;-45.00555555;586.0;20/10/17
155;2020/06/04;0200 UTC;0.0;1014.1;1014.1;1013.8;;8.2;6.8;9.3;8.1;7.2;6.6;91.0;87.0;91.0;150.0;6.4;3.1;S;RS;URUGUAIANA;A809;-29.83987;-57.081899;74.29;28/09/06
389;2021/10/23;1600 UTC;;;;;;;;;;;;;;;;;;NE;PE;SERRA TALHADA;A350;-7.954277;-38.295082;499.02;09/07/08
364;2021/05/02;1200 UTC;0.0;956.6;956.6;956.2;1146.6;21.5;19.7;21.5;20.1;20.0;19.3;96.0;88.0;90.0;152.0;7.7;3.9;NE;BA;SENHOR DO BONFIM;A428;-10.44305555;-40.14833333;532.09;27/03/08
273;2021/12/11;0600 UTC;;;;;;;;;;;;;;;;;;NE;CE;QUIXERAMOBIM;A325;-5.17444443;-39.28944444;221.04;09/07/07
85;2020/06/30;1200 UTC;0.0;996.9;996.9;996.0;713.5;23.8;18.9;23.9;22.1;19.1;18.3;79.0;74.0;74.0;94.0;0.0;0.0;CO;MS;CORUMBA;A724;-18.99667;-57.6375;111.73;26/10/06
586;2022/07/06;1000 UTC;;;;;;;;;;;;;;;;;;NE;SE;ARACAJU;A409;-10.9525;-37.05444444;3.72;12/02/03
246;2022/08/01;0600 UTC;0.0;;;;0.0;20.0;17.3;20.1;19.8;17.3;16.8;85.0;82.0;85.0;49.0;7.5;4.5;SE;RJ;ARRAIAL DO CABO;A606;-22.97527777;-42.02138888;5.0;22/09/06
498;2020/08/13;1100 UTC;0.0;949.9;949.9;949.2;162.8;20.4;14.0;20.4;18.5;14.0;13.3;72.0;67.0;67.0;344.0;3.8;2.4;CO;MT;SAPEZAL;A911;-13.30388888;-58.76333333;105.0;20/10/17
280;2022/10/06;1200 UTC;0.0;995.6;995.7;995.1;558.0;27.0;20.6;27.1;26.2;20.7;20.4;71.0;68.0;68.0;52.0;6.5;2.9;NE;MA;BARRA DO CORDA;A221;-5.50666666;-45.23694444;154.19;06/03/08
385;2021/07/14;0900 UTC;0.0;942.3;942.3;942.2;;6.6;6.5;6.6;5.9;6.5;5.6;99.0;97.0;99.0;203.0;1.5;0.8;SE;MG;BAMBUI;A565;-20.0311111;-46.00888888;697.0;23/11/16
1;2021/05/01;2300 UTC;0.0;992.0;992.0;990.9;;27.3;20.0;31.8;27.3;20.0;17.7;65.0;43.0;65.0;49.0;10.1;3.0;CO;MT;CUIABA;A901;-15.559295;-56.062951;241.56;08/12/02
721;2022/08/13;0200 UTC;0.0;1016.2;1016.4;1016.1;;23.9;22.8;24.0;23.0;22.9;22.3;96.0;93.0;93.0;;;;NE;BA;SALVADOR (RADIO FAROL);A456;-12.80833333;-38.49583333;31.0;10/03/18
226;2020/05/20;0700 UTC;0.0;879.7;879.8;879.5;0.0;17.8;16.5;18.1;17.8;16.7;16.4;93.0;90.0;92.0;79.0;9.8;4.2;CO;GO;ALTO PARAISO DE GOIAS;A024;-14.13305554;-47.52333332;1264.7;04/06/07
703;2021/04/01;1500 UTC;0.0;1006.9;1006.9;1006.8;2499.6;21.2;16.3;24.2;21.2;19.1;16.2;77.0;66.0;73.0;140.0;7.5;2.4;S;RS;CAMAQUA;A838;-30.807953;-51.83424;92.3;12/12/06
661;2021/07/10;0400 UTC;0.0;974.4;974.7;974.3;;17.8;16.4;17.8;17.6;16.4;16.0;91.0;91.0;91.0;165.0;2.0;0.0;NE;BA;AMARGOSA;A434;-13.009468;-39.616881;397.8;11/07/08
356;2022/04/12;1700 UTC;;;;;;;;;;;;;;;;;;N;TO;RIO SONO;A050;-9.793363;-47.132732;291.0;03/08/16
943;2021/06/15;0300 UTC;;;;;;;;;;;;;;;;;;N;AC;MARECHAL THAUMATURGO;A137;-8.95;-72.78666666;220.98;27/10/09
159;2021/12/21;0500 UTC;;;;;;;;;;;;;;;;;;CO;MS;ARAL MOREIRA;S702;-22.955;-55.6261111;605.0;13/04/18
458;2020/06/29;0100 UTC;0.0;908.5;908.5;908.3;;8.7;8.1;9.5;8.7;8.9;8.1;97.0;96.0;97.0;208.0;0.2;0.0;S;PR;GENERAL CARNEIRO;A875;-26.3986111;-51.35361111;1009.01;30/04/08
729;2021/01/25;1000 UTC;;;;;;;;;;;;;;;;;;CO;GO;RIO VERDE;A025;-17.78527777;-50.965;780.11;17/05/07
883;2022/09/23;2000 UTC;0.0;1013.2;1013.2;1012.4;174.8;19.9;13.1;20.3;19.9;13.5;12.8;65.0;63.0;65.0;243.0;7.1;2.4;SE;RJ;SILVA JARDIM;A659;-22.64583333;-42.41555555;19.0;28/08/15
230;2022/02/14;0300 UTC;0.0;954.3;954.4;954.3;0.0;25.5;20.6;26.9;25.5;21.1;20.6;75.0;70.0;74.0;333.0;0.0;0.0;CO;GO;SAO SIMAO;A011;-18.969142;-50.633449;492.45;15/07/06
147;2020/04/16;0600 UTC;0.0;930.9;931.0;930.8;;5.8;5.3;6.9;5.8;5.8;5.2;96.0;92.0;96.0;;;;S;SC;JOACABA;A841;-27.16916666;-51.55888888;767.63;20/09/07
307;2020/08/28;1700 UTC;;;;;;;;;;;;;;;;;;CO;GO;IPORA;A028;-16.42305554;-51.14888888;610.41;24/06/13
359;2022/09/02;0000 UTC;;;;;;;;;;;;;;;;;;N;AC;EPITACIOLANDIA;A140;-11.02388888;-68.73527777;224.5;25/09/09
376;2021/05/12;2300 UTC;;;;;;;;;;;;;;;;;;CO;MS;JARDIM;A758;-21.4786111;-56.13777777;252.47;04/08/11
